"Name","CompanyName"
"AsBuiltReport.VMware.NSXv","tpcarman"
"AsBuiltReport.VMware.SRM","tpcarman"
"AsBuiltReport.VMware.UAG","tpcarman"
"AsBuiltReport.VMware.vSphere","tpcarman"
"Asciify","HIGHphen"
"AsciiText","SomethingBlue"
"ASCIIWRITE","canix1"
"Ascribe.Inspector","mike.obrian"
"ASDatabaseComparator","NandanHegde"
"AsgGroup","ASG_RJW"
"AsgGroupCantara","ASG_RJW"
"AsgGroupJDEdwards-Selenium","ASG_RJW"
"AsgGroupLegacy","ASG_RJW"
"AsgGroupSSh","ASG_RJW"
"AsHciADArtifactsPreCreationTool","vanik"
"Ask","natebarkei"
"Ask-GPT","JonDavis"
"ASN.1","michael.haken"
"ASQ","BakiOnur"
"ASRRules","Emin"
"Assembly","Prajeesh"
"AssemblyChecker","abbgrade"
"AssemblyMeta","qbik"
"Assert","nohwnd"
"Assert-JsonValidity","c.diehl"
"AssertExceptionThrown","OneEyedSi"
"AssetInventory","michael.haken"
"AssistDeploy","RichieBzzzt"
"Ast","PSModule.io"
"AstExtensions","gogbg"
"AstHelper","ThmsRynr,MrThomasRayner"
"AsyncHttps","phbits"
"ATAPAuditor","Beneboe,florianbroeder,SteffenWinternheimer,DanielStroeher"
"ATAPHtmlReport","Beneboe,florianbroeder,SteffenWinternheimer,DanielStroeher"
"AtcoderFs.Pwsh","luAnago"
"ATDD.TestScriptor","jhoek,lvanvugt"
"Atempo.Lina","tibo"
"Atlas.ClientToolKit","Atlas-Justin"
"Atlassian.Bitbucket","eelkram"
"AtlassianCLI","Invoke-Automation"
"AtlassianCloudPS","andylyonette"
"AtlassianPS.Configuration","AtlassianPS"
"Atmosphere","slurps-mad-rips"
"AtomDigitalObjectDownloader","danloveg"
"AtomicTestHarnesses","redcanary"
"ATPModule","anstfm"
"attach-with","evilprince2009"
"AttunixMSPTools","AttunixMSP"
"AU","majkinetor"
"au.com.kloud.netscaler","wvanbesien"
"AudioDeviceCmdlets","frgnca"
"AudioSwitcher","xenolightning"
"AudioVolumeDsc","mkht"
"AudioWorks.Commands","JHerbY2K"
"AuditBuddy","sethsc_msft"
"AuditPermissions","AndrewSpangler"
"Auditpol","StephenRoberts"
"AuditPolicy","Przemyslaw.Klys"
"AuditPolicyDsc","PowerShellTeam,gaelcolas,dsccommunity"
"AuditSystemDsc","JasonW"
"Auger","terminalPoltergeist"
"Auth0","panesofglass"
"Auth0ConnectionEx","pswetz"
"Authenticode","Jaykul"
"AuthorizeNetCmdlets","CData"
"AutifyCmdlets","CData"
